Concept,Prompt Type,Coefficient,Optimal Layer,Optimal Score
Video Game,1,2,0,0.8770575642585754
Video Game,2,2,2,0.95890176
Village,1,2,1,0.7828128084540367
Village,2,2,4,0.9684891670942306
Voice Actor,1,2,1,0.8253815352916718
Voice Actor,2,2,14,0.9631988704204559
Volcano,1,2,4,0.8554784938693046
Volcano,2,2,0,0.9621107578277588
Winery,1,2,0,0.7257736548781395
Winery,2,2,16,0.9719704002141952
Wrestling,1,2,4,0.9148403331637383
Wrestling,2,2,20,0.9806472212076187
